x,y,match_id,player
94.3,11.2,3754014,Memphis Depay
95.4,32.5,3754014,Marouane Fellaini-Bakkioui
48.3,10.4,3754014,Daley Blind
117.1,57.2,3754014,Anthony Martial
116.7,55.7,3754014,Juan Manuel Mata García
88.0,65.1,3754014,Wayne Mark Rooney
81.8,7.9,3754014,Wayne Mark Rooney
68.8,66.3,3754014,Juan Manuel Mata García
96.8,3.9,3754014,Marouane Fellaini-Bakkioui
79.0,17.9,3754014,Anthony Martial
66.9,16.9,3754014,Marouane Fellaini-Bakkioui
76.5,41.4,3754014,Marouane Fellaini-Bakkioui
58.6,41.5,3754014,Ander Herrera Agüera
91.6,50.6,3754014,Anthony Martial
96.0,2.7,3754014,Daley Blind
109.6,45.2,3754014,Chris Smalling
56.9,10.5,3754014,Wayne Mark Rooney
42.2,21.0,3754014,Ander Herrera Agüera
92.5,40.9,3754014,Anthony Martial
93.7,65.1,3754014,Marouane Fellaini-Bakkioui
97.5,8.2,3754014,Marouane Fellaini-Bakkioui
110.5,39.5,3754014,Phil Jones
105.6,13.1,3754347,Marouane Fellaini-Bakkioui
101.5,75.1,3754347,Marouane Fellaini-Bakkioui
61.6,36.4,3754347,Marouane Fellaini-Bakkioui
109.5,77.3,3754347,Paddy McNair
91.0,67.1,3754347,Anthony Martial
71.1,11.1,3754347,Juan Manuel Mata García
37.7,54.0,3754347,Chris Smalling
97.5,46.7,3754347,Marouane Fellaini-Bakkioui
99.9,42.3,3754347,Jesse Lingard
54.3,75.6,3754347,Anthony Martial
45.4,69.8,3754347,Jesse Lingard
105.8,57.3,3754347,Anthony Martial
51.8,4.4,3754347,Juan Manuel Mata García
106.4,37.3,3754347,Anthony Martial
55.4,36.4,3754347,Juan Manuel Mata García
49.8,78.3,3754347,Guillermo Varela Olivera
28.9,67.5,3754347,Michael Carrick
109.7,48.5,3754347,Morgan Schneiderlin
40.3,77.1,3754347,Paddy McNair
115.7,57.8,3754347,Anthony Martial
111.7,78.7,3754347,Anthony Martial
71.2,3.1,3754347,Jesse Lingard
94.2,67.8,3754347,Paddy McNair
85.5,66.6,3754347,Anthony Martial
106.2,40.8,3754347,Anthony Martial
104.7,33.9,3754347,Marouane Fellaini-Bakkioui
109.5,14.0,3754347,Jesse Lingard
76.4,73.9,3754347,Anthony Martial
70.6,3.8,3754347,Jesse Lingard
62.9,56.7,3754347,Jesse Lingard
111.8,21.0,3754347,Matteo Darmian
65.3,22.6,3754015,Faustino Marcos Alberto Rojo
82.1,17.9,3754015,Anthony Martial
49.6,25.2,3754015,Wayne Mark Rooney
47.6,37.4,3754015,Morgan Schneiderlin
35.3,9.9,3754015,Anthony Martial
94.6,25.2,3754015,Wayne Mark Rooney
84.7,40.6,3754015,Morgan Schneiderlin
44.4,44.4,3754015,Juan Manuel Mata García
98.1,50.5,3754015,Wayne Mark Rooney
105.3,10.8,3754015,Anthony Martial
115.5,58.1,3754015,Ander Herrera Agüera
45.8,64.6,3754015,Ander Herrera Agüera
95.5,21.3,3754015,Anthony Martial
41.9,25.2,3754015,Anthony Martial
67.8,5.9,3754015,Anthony Martial
55.2,57.5,3754015,Wayne Mark Rooney
43.5,24.5,3754015,Marouane Fellaini-Bakkioui
52.5,13.5,3754015,Anthony Martial
74.0,37.0,3754015,Wayne Mark Rooney
79.2,5.8,3754015,Anthony Martial
70.8,24.9,3754015,Wayne Mark Rooney
79.2,23.8,3754015,Wayne Mark Rooney
77.2,22.6,3754015,Anthony Martial
78.1,60.0,3754015,Wayne Mark Rooney
57.7,3.7,3754015,Anthony Martial
69.3,12.1,3754015,Juan Manuel Mata García
100.6,26.1,3754015,Wayne Mark Rooney
58.2,63.4,3754015,Wayne Mark Rooney
96.9,76.7,3754015,Luis Antonio Valencia Mosquera
116.8,20.6,3754015,Anthony Martial
49.7,59.9,3754015,Ander Herrera Agüera
46.8,77.2,3754015,Matteo Darmian
92.0,78.3,3754015,Jesse Lingard
85.0,63.5,3754008,Anthony Martial
78.7,57.2,3754008,Wayne Mark Rooney
87.4,20.1,3754008,Memphis Depay
85.6,59.0,3754008,Anthony Martial
81.0,39.9,3754008,Memphis Depay
119.1,75.9,3754008,Luis Antonio Valencia Mosquera
93.1,35.8,3754008,Wayne Mark Rooney
86.9,24.8,3754008,Memphis Depay
118.2,71.8,3754008,Luis Antonio Valencia Mosquera
66.6,31.5,3754008,Bastian Schweinsteiger
91.5,33.6,3754008,Wayne Mark Rooney
95.8,3.5,3754008,Memphis Depay
109.0,29.5,3754008,Memphis Depay
90.4,10.9,3754008,Matteo Darmian
71.3,74.3,3754008,Wayne Mark Rooney
77.2,28.2,3754008,Memphis Depay
93.0,62.9,3754008,Wayne Mark Rooney
71.8,22.2,3754008,Juan Manuel Mata García
69.4,23.5,3754008,Juan Manuel Mata García
75.2,59.1,3754008,Anthony Martial
86.3,5.5,3754008,Memphis Depay
99.8,20.6,3754008,Anthony Martial
116.0,4.4,3754008,Memphis Depay
112.1,28.5,3754008,Anthony Martial
106.3,27.4,3754008,Memphis Depay
107.7,5.6,3754008,Bastian Schweinsteiger
84.8,25.2,3754008,Ashley Young
103.9,36.9,3754008,Wayne Mark Rooney
63.1,7.0,3754011,Michael Carrick
89.7,32.5,3754011,Wayne Mark Rooney
107.4,31.1,3754011,Juan Manuel Mata García
59.3,77.5,3754011,Juan Manuel Mata García
103.8,31.7,3754011,Memphis Depay
53.1,77.0,3754011,Chris Smalling
56.8,54.6,3754011,Morgan Schneiderlin
99.5,9.2,3754011,Faustino Marcos Alberto Rojo
85.8,31.7,3754011,Memphis Depay
94.9,59.8,3754011,Juan Manuel Mata García
88.2,12.9,3754011,Anthony Martial
70.6,50.5,3754011,Michael Carrick
98.9,22.3,3754011,Wayne Mark Rooney
90.6,12.1,3754011,Anthony Martial
107.4,69.1,3754011,Juan Manuel Mata García
97.1,26.2,3754011,Anthony Martial
55.3,67.8,3754011,Luis Antonio Valencia Mosquera
55.5,44.1,3754011,Morgan Schneiderlin
93.7,18.1,3754011,Memphis Depay
77.9,2.3,3754011,Wayne Mark Rooney
84.6,54.4,3754011,Anthony Martial
68.6,9.9,3754107,Memphis Depay
112.0,30.7,3754107,Memphis Depay
60.9,10.2,3754107,Adnan Januzaj
92.0,4.8,3754107,Memphis Depay
64.2,75.6,3754107,Adnan Januzaj
68.4,26.2,3754107,Wayne Mark Rooney
62.4,41.6,3754107,Wayne Mark Rooney
63.8,35.7,3754107,Wayne Mark Rooney
93.7,73.6,3754107,Juan Manuel Mata García
90.3,7.1,3754107,Memphis Depay
94.6,15.1,3754107,Memphis Depay
68.6,24.1,3754107,Wayne Mark Rooney
102.2,5.2,3754107,Luke Shaw
46.2,6.2,3754107,Adnan Januzaj
114.9,63.2,3754107,Wayne Mark Rooney
100.8,31.5,3754107,Adnan Januzaj
13.7,72.6,3754107,Juan Manuel Mata García
62.9,63.4,3754107,Adnan Januzaj
53.0,43.8,3754107,Adnan Januzaj
54.2,20.1,3754107,Ander Herrera Agüera
114.7,61.7,3754107,Ander Herrera Agüera
112.6,10.2,3754107,Bastian Schweinsteiger
69.3,55.1,3754107,Juan Manuel Mata García
101.2,55.6,3754107,Morgan Schneiderlin
98.8,26.2,3754107,Ander Herrera Agüera
84.9,30.2,3754107,Juan Manuel Mata García
94.4,55.3,3754107,Ander Herrera Agüera
116.1,4.2,3754107,Wayne Mark Rooney
114.5,3.1,3754107,Ashley Young
40.2,66.7,3754097,Wayne Mark Rooney
89.7,2.3,3754097,Memphis Depay
76.5,9.3,3754097,Luke Shaw
111.6,2.8,3754097,Memphis Depay
92.0,15.6,3754097,Memphis Depay
62.6,63.1,3754097,Juan Manuel Mata García
87.6,8.2,3754097,Ashley Young
83.2,33.3,3754097,Wayne Mark Rooney
99.1,9.7,3754097,Ander Herrera Agüera
69.8,61.1,3754097,Juan Manuel Mata García
42.6,66.4,3754097,Matteo Darmian
30.2,41.1,3754097,Morgan Schneiderlin
89.7,27.4,3754097,Memphis Depay
71.4,15.3,3754097,Daley Blind
81.9,5.0,3754097,Luke Shaw
109.1,34.4,3754097,Wayne Mark Rooney
112.4,17.8,3754097,Luke Shaw
63.1,42.9,3754097,Michael Carrick
78.3,19.5,3754097,Memphis Depay
92.9,3.7,3754097,Ashley Young
88.5,20.9,3754097,Morgan Schneiderlin
44.6,4.3,3754097,Ashley Young
70.9,22.9,3754097,Memphis Depay
87.8,51.7,3754097,Memphis Depay
60.0,29.2,3754097,Ander Herrera Agüera
85.9,64.1,3754097,Juan Manuel Mata García
84.8,78.1,3754097,Juan Manuel Mata García
117.6,3.3,3754097,Wayne Mark Rooney
91.8,35.9,3754185,Ander Herrera Agüera
42.4,25.4,3754185,Ander Herrera Agüera
42.7,26.1,3754185,Ander Herrera Agüera
63.3,12.0,3754185,Memphis Depay
80.0,17.7,3754185,Juan Manuel Mata García
70.4,70.4,3754185,Ashley Young
40.4,29.3,3754185,Bastian Schweinsteiger
111.7,78.7,3754185,Ashley Young
83.8,3.9,3754185,Bastian Schweinsteiger
55.0,39.8,3754185,Morgan Schneiderlin
15.6,4.9,3754185,Daley Blind
78.3,20.6,3754185,Bastian Schweinsteiger
55.3,52.0,3754185,Juan Manuel Mata García
56.0,2.4,3754185,Bastian Schweinsteiger
104.5,64.0,3754185,Memphis Depay
46.6,70.3,3754185,Morgan Schneiderlin
74.6,2.0,3754185,Memphis Depay
95.1,74.1,3754185,Jesse Lingard
92.5,52.8,3754185,Andreas Hoelgebaum Pereira
91.5,2.0,3754185,Daley Blind
110.4,31.4,3754185,Memphis Depay
63.3,61.6,3754185,Andreas Hoelgebaum Pereira
110.4,74.3,3754185,Jesse Lingard
112.4,38.2,3754185,Jesse Lingard
62.4,5.8,3754185,Memphis Depay
91.8,51.6,3754185,Ander Herrera Agüera
64.4,64.9,3754185,Juan Manuel Mata García
100.0,17.1,3754185,Memphis Depay
106.2,46.0,3754185,Phil Jones
79.5,19.6,3754185,Memphis Depay
98.1,67.9,3754185,Jesse Lingard
106.2,4.8,3754185,Memphis Depay
106.0,22.9,3754185,Memphis Depay
81.3,17.5,3754185,Memphis Depay
35.4,56.0,3754185,Memphis Depay
111.5,48.0,3754185,Bastian Schweinsteiger
87.8,76.2,3754185,Andreas Hoelgebaum Pereira
50.8,76.3,3754185,Jesse Lingard
82.8,71.1,3754185,Memphis Depay
91.7,38.8,3754162,Anthony Martial
94.6,16.5,3754162,Memphis Depay
117.7,5.9,3754162,Jesse Lingard
80.1,25.6,3754162,Anthony Martial
87.0,75.0,3754162,Andreas Hoelgebaum Pereira
99.2,30.8,3754162,Marouane Fellaini-Bakkioui
63.8,4.1,3754162,Marouane Fellaini-Bakkioui
105.5,40.9,3754162,Anthony Martial
43.8,50.5,3754162,Michael Carrick
100.0,9.7,3754162,Memphis Depay
84.1,9.4,3754162,Memphis Depay
42.7,76.0,3754162,Paddy McNair
97.6,25.3,3754162,Memphis Depay
44.4,10.2,3754162,Marouane Fellaini-Bakkioui
114.5,22.2,3754162,Cameron Borthwick-Jackson
29.5,55.1,3754162,Juan Manuel Mata García
68.3,66.7,3754162,Juan Manuel Mata García
94.4,53.2,3754162,Michael Carrick
114.2,19.7,3754162,Anthony Martial
64.4,6.4,3754162,Marouane Fellaini-Bakkioui
92.9,30.1,3754162,Memphis Depay
110.3,6.7,3754162,Anthony Martial
77.7,10.1,3754162,Cameron Borthwick-Jackson
18.4,78.1,3754162,Guillermo Varela Olivera
79.4,64.9,3754162,Anthony Martial
65.0,77.1,3754162,Guillermo Varela Olivera
112.0,51.1,3754162,Anthony Martial
107.5,28.7,3754162,Memphis Depay
106.7,52.7,3754162,Anthony Martial
36.2,72.7,3754162,Paddy McNair
89.0,65.9,3754162,Anthony Martial
57.7,58.3,3754162,Michael Carrick
109.8,77.0,3754162,Anthony Martial
78.9,6.3,3754162,Memphis Depay
80.0,76.2,3754171,Matteo Darmian
94.4,52.3,3754171,Wayne Mark Rooney
115.1,34.6,3754171,Anthony Martial
95.6,71.2,3754171,Wayne Mark Rooney
92.5,28.2,3754171,Juan Manuel Mata García
93.3,44.6,3754171,Bastian Schweinsteiger
105.1,24.8,3754171,Memphis Depay
73.3,6.9,3754171,Wayne Mark Rooney
111.4,6.7,3754171,Anthony Martial
108.7,25.8,3754171,Anthony Martial
48.9,2.4,3754171,Daley Blind
92.1,51.1,3754171,Anthony Martial
78.1,70.9,3754171,Michael Carrick
105.1,76.4,3754171,Bastian Schweinsteiger
77.1,76.0,3754171,Anthony Martial
105.1,44.8,3754171,James Wilson
67.5,66.1,3754171,James Wilson
56.1,14.9,3754171,Memphis Depay
86.4,9.9,3754171,Memphis Depay
93.1,55.7,3754171,Juan Manuel Mata García
108.3,49.5,3754171,Chris Smalling
115.9,2.4,3754171,Memphis Depay
110.9,35.7,3754171,Anthony Martial
105.6,21.9,3754171,Anthony Martial
78.3,29.1,3754171,Anthony Martial
105.6,20.7,3754171,Anthony Martial
100.3,57.9,3754171,Anthony Martial
68.9,26.2,3754171,Wayne Mark Rooney
104.6,43.9,3754171,Marouane Fellaini-Bakkioui
105.4,76.4,3754171,Bastian Schweinsteiger
105.4,40.2,3754171,James Wilson
92.1,18.5,3754171,Wayne Mark Rooney
49.7,15.0,3754186,Bastian Schweinsteiger
64.5,60.1,3754186,Anthony Martial
65.6,78.2,3754186,Matteo Darmian
106.6,4.4,3754186,Ashley Young
15.6,58.7,3754186,Matteo Darmian
40.1,76.5,3754186,Anthony Martial
54.9,5.4,3754186,Anthony Martial
63.5,14.5,3754186,Anthony Martial
102.2,58.1,3754186,Wayne Mark Rooney
83.6,34.3,3754186,Bastian Schweinsteiger
98.7,79.0,3754186,Anthony Martial
53.1,12.4,3754186,Wayne Mark Rooney
69.2,2.4,3754186,Anthony Martial
42.8,73.5,3754186,Paddy McNair
57.6,74.2,3754186,Anthony Martial
50.0,5.2,3754186,Memphis Depay
90.7,31.1,3754186,Memphis Depay
45.6,52.3,3754186,Juan Manuel Mata García
101.7,50.5,3754186,Bastian Schweinsteiger
64.3,3.9,3754186,Daley Blind
104.4,44.0,3754186,Anthony Martial
40.1,52.0,3754186,Paddy McNair
52.4,5.4,3754186,Anthony Martial
96.1,7.3,3754186,Daley Blind
101.7,78.6,3754186,Anthony Martial
94.0,79.5,3754186,Anthony Martial
67.5,66.0,3754186,Anthony Martial
70.0,74.7,3754186,Anthony Martial
113.2,14.4,3754186,Anthony Martial
109.7,58.6,3754186,Anthony Martial
59.8,76.4,3754186,Anthony Martial
32.6,76.3,3754186,Matteo Darmian
117.0,75.5,3754186,Memphis Depay
98.7,63.8,3754186,Memphis Depay
90.3,36.0,3754186,Juan Manuel Mata García
102.5,74.2,3754186,Michael Carrick
110.1,69.1,3754186,Memphis Depay
105.3,75.0,3754186,Memphis Depay
67.6,17.4,3754186,Michael Carrick
61.7,10.5,3754186,Bastian Schweinsteiger
64.2,23.2,3754221,Memphis Depay
84.8,37.2,3754221,Juan Manuel Mata García
69.8,24.8,3754221,Bastian Schweinsteiger
55.9,11.9,3754221,Bastian Schweinsteiger
61.1,19.7,3754221,Luke Shaw
7.3,75.4,3754221,Ander Herrera Agüera
102.2,35.5,3754221,Ander Herrera Agüera
80.4,6.3,3754221,Memphis Depay
80.1,34.4,3754221,Ander Herrera Agüera
109.3,39.6,3754221,Wayne Mark Rooney
96.9,40.8,3754221,Memphis Depay
70.9,4.9,3754221,Memphis Depay
53.5,62.2,3754221,Ander Herrera Agüera
65.7,50.6,3754221,Wayne Mark Rooney
77.1,75.7,3754221,Ander Herrera Agüera
108.7,36.7,3754221,Wayne Mark Rooney
73.6,75.4,3754221,Wayne Mark Rooney
90.2,76.4,3754221,Chris Smalling
35.3,52.9,3754221,Ander Herrera Agüera
87.7,9.1,3754221,Memphis Depay
63.7,0.1,3754221,Daley Blind
54.7,14.0,3754221,Ander Herrera Agüera
70.1,52.3,3754221,Morgan Schneiderlin
30.6,31.4,3754221,Bastian Schweinsteiger
66.3,20.0,3754221,Memphis Depay
81.6,30.2,3754221,Bastian Schweinsteiger
98.6,32.4,3754221,Memphis Depay
50.8,22.7,3754221,Memphis Depay
86.8,56.9,3754221,Marouane Fellaini-Bakkioui
63.7,20.9,3754223,Anthony Martial
43.1,10.2,3754223,Faustino Marcos Alberto Rojo
68.1,68.5,3754223,Juan Manuel Mata García
21.2,57.6,3754223,Chris Smalling
65.8,26.3,3754223,Ander Herrera Agüera
54.0,24.6,3754223,Bastian Schweinsteiger
40.4,43.2,3754223,Ander Herrera Agüera
80.9,24.0,3754223,Morgan Schneiderlin
40.9,71.8,3754223,Bastian Schweinsteiger
91.5,5.8,3754223,Wayne Mark Rooney
65.0,73.6,3754223,Juan Manuel Mata García
16.1,57.9,3754223,Matteo Darmian
65.6,55.4,3754223,Ander Herrera Agüera
115.3,9.9,3754223,Anthony Martial
58.4,65.2,3754223,Wayne Mark Rooney
78.7,57.0,3754223,Matteo Darmian
36.4,19.1,3754223,Daley Blind
88.1,48.1,3754223,Ander Herrera Agüera
112.8,34.6,3754223,Anthony Martial
44.3,16.0,3754223,Wayne Mark Rooney
75.9,21.3,3754223,Wayne Mark Rooney
66.2,59.9,3754223,Juan Manuel Mata García
100.9,12.2,3754223,Bastian Schweinsteiger
47.6,42.2,3754223,Chris Smalling
97.8,52.6,3754223,Anthony Martial
110.9,33.7,3754223,Ander Herrera Agüera
68.3,5.9,3754223,Wayne Mark Rooney
90.8,24.7,3754223,Wayne Mark Rooney
103.0,30.9,3754254,Memphis Depay
99.2,77.0,3754254,Adnan Januzaj
67.5,27.6,3754254,Adnan Januzaj
63.2,16.3,3754254,Memphis Depay
61.1,15.9,3754254,Luke Shaw
91.7,20.5,3754254,Memphis Depay
66.4,30.4,3754254,Bastian Schweinsteiger
67.0,76.8,3754254,Wayne Mark Rooney
119.0,53.8,3754254,Matteo Darmian
94.1,9.3,3754254,Wayne Mark Rooney
106.4,24.1,3754254,Memphis Depay
112.8,4.7,3754254,Memphis Depay
108.6,63.9,3754254,Michael Carrick
102.6,57.6,3754254,Juan Manuel Mata García
102.7,41.4,3754254,Wayne Mark Rooney
102.1,57.8,3754254,Juan Manuel Mata García
45.5,73.8,3754254,Juan Manuel Mata García
59.0,6.7,3754254,Bastian Schweinsteiger
100.4,17.1,3754254,Memphis Depay
118.4,55.8,3754254,Matteo Darmian
114.5,37.1,3754254,Chris Smalling
102.9,12.1,3754254,Adnan Januzaj
84.5,44.1,3754254,Wayne Mark Rooney
103.9,26.7,3754254,Wayne Mark Rooney
89.4,14.3,3754254,Memphis Depay
88.4,21.7,3754256,Ander Herrera Agüera
68.4,26.5,3754256,Juan Manuel Mata García
98.9,20.8,3754256,Anthony Martial
91.7,61.3,3754256,Bastian Schweinsteiger
106.4,76.8,3754256,Anthony Martial
89.8,30.3,3754256,Wayne Mark Rooney
70.7,14.4,3754256,Anthony Martial
53.9,55.9,3754256,Wayne Mark Rooney
59.0,15.0,3754256,Bastian Schweinsteiger
104.3,37.6,3754256,Wayne Mark Rooney
56.0,56.8,3754256,Michael Carrick
86.5,72.6,3754256,Jesse Lingard
78.9,68.2,3754256,Wayne Mark Rooney
52.9,8.3,3754256,Marouane Fellaini-Bakkioui
105.0,43.6,3754256,Jesse Lingard
88.4,54.1,3754256,Ander Herrera Agüera
82.1,75.2,3754256,Bastian Schweinsteiger
69.0,62.6,3754256,Wayne Mark Rooney
107.9,7.8,3754256,Anthony Martial
82.8,1.4,3754256,Anthony Martial
100.0,75.1,3754256,Ander Herrera Agüera
30.4,31.6,3754256,Faustino Marcos Alberto Rojo
114.0,27.6,3754256,Anthony Martial
62.9,46.2,3754256,Chris Smalling
41.9,78.4,3754256,Matteo Darmian
100.6,3.8,3754256,Faustino Marcos Alberto Rojo
40.1,75.3,3754256,Phil Jones
107.3,76.9,3754297,Ashley Young
54.6,18.4,3754297,Bastian Schweinsteiger
99.0,45.2,3754297,Anthony Martial
110.5,47.3,3754297,Anthony Martial
84.1,72.5,3754297,Ashley Young
89.7,55.1,3754297,Anthony Martial
56.1,52.3,3754297,Anthony Martial
100.0,56.8,3754297,Bastian Schweinsteiger
70.1,55.6,3754297,Anthony Martial
72.2,61.5,3754297,Wayne Mark Rooney
64.1,4.6,3754297,Ander Herrera Agüera
86.3,9.9,3754297,Wayne Mark Rooney
99.8,74.2,3754297,Anthony Martial
88.0,55.1,3754297,Juan Manuel Mata García
62.3,23.6,3754297,Anthony Martial
85.0,60.6,3754297,Anthony Martial
98.7,3.8,3754297,Anthony Martial
37.1,71.2,3754297,Michael Carrick
38.5,12.2,3754297,Bastian Schweinsteiger
71.3,33.5,3754297,Michael Carrick
50.1,3.9,3754297,Chris Smalling
79.1,29.7,3754297,Bastian Schweinsteiger
117.7,5.1,3754297,Jesse Lingard
42.6,4.6,3754297,Jesse Lingard
21.2,14.8,3754297,Bastian Schweinsteiger
110.6,15.0,3754297,Anthony Martial
23.3,24.0,3754297,Daley Blind
66.0,10.8,3754297,Bastian Schweinsteiger
99.3,3.1,3754044,Memphis Depay
111.2,33.3,3754044,Wayne Mark Rooney
72.5,71.5,3754044,Anthony Martial
98.3,68.9,3754044,Juan Manuel Mata García
97.5,2.3,3754044,Memphis Depay
37.8,19.1,3754044,Wayne Mark Rooney
108.9,57.0,3754044,Juan Manuel Mata García
97.2,39.2,3754044,Wayne Mark Rooney
74.9,50.7,3754044,Wayne Mark Rooney
105.2,47.5,3754044,Wayne Mark Rooney
98.2,69.1,3754044,Anthony Martial
115.6,53.5,3754044,Juan Manuel Mata García
101.5,77.6,3754044,Ashley Young
72.5,9.1,3754044,Memphis Depay
98.9,70.4,3754044,Juan Manuel Mata García
87.4,73.4,3754044,Anthony Martial
85.7,73.1,3754044,Anthony Martial
91.9,72.3,3754044,Ashley Young
105.2,76.2,3754044,Ashley Young
88.7,67.2,3754044,Anthony Martial
23.3,67.5,3754044,Anthony Martial
47.4,24.8,3754044,Marouane Fellaini-Bakkioui
49.7,52.8,3754044,Juan Manuel Mata García
111.4,62.9,3754044,Anthony Martial
57.1,5.1,3754044,Memphis Depay
91.6,67.1,3754044,Ashley Young
55.4,75.2,3754044,Anthony Martial
58.6,77.1,3754044,Anthony Martial
63.4,76.5,3754044,Michael Carrick
110.8,7.0,3754044,Memphis Depay
111.0,34.7,3754044,Anthony Martial
89.8,8.1,3754044,Daley Blind
84.0,21.3,3754044,Daley Blind
110.2,69.8,3754044,Anthony Martial
57.0,13.0,3754003,Marouane Fellaini-Bakkioui
39.7,7.8,3754003,Bastian Schweinsteiger
90.1,5.0,3754003,Memphis Depay
108.2,46.5,3754003,Ander Herrera Agüera
64.2,71.1,3754003,Juan Manuel Mata García
108.6,7.2,3754003,Memphis Depay
104.5,27.6,3754003,Memphis Depay
